"acousticness" "duration" "energy" "liveness" "loudness" "tempo"
"218" 0.781 197387 0.367 0.336 -10.153 81.151
"219" 0.298 142067 0.525 0.0691 -13.038 80.508
"220" 0.015 249147 0.652 0.0835 -5.701 109.988
"221" 0.919 279840 0.166 0.102 -16.823 85.062
"222" 0.823 272867 0.16 0.101 -17.424 140.25
"223" 0.035 300933 0.896 0.0941 -4.719 95.158
"224" 0.904 169827 0.267 0.188 -11.869 106.781
"225" 0.0646 293400 0.948 0.894 -7.13 98.493
"226" 0.0771 321387 0.835 0.228 -10.329 102.795
"227" 0.414 295866 0.572 0.0767 -11.73 137.203
"228" 0.445 411867 0.161 0.123 -18.215 76.302
"229" 0.617 158880 0.397 0.345 -12.981 101.403
"230" 0.00652 230773 0.661 0.0976 -4.984 110.978
"231" 0.000169 263093 0.85 0.357 -3.749 123.183
"232" 0.000873 295053 0.987 0.823 -5.8 104.964
"233" 0.59 142721 0.16 0.127 -22.265 113.853
"234" 0.565 173240 0.188 0.202 -14.263 90.529
"235" 0.932 207000 0.363 0.189 -12.306 161.306
"236" 0.0209 252235 0.582 0.0937 -8.835 99.996
"237" 0.0041 197640 0.804 0.33 -5.194 144.992
"238" 0.994 203013 0.302 0.153 -18.149 108.298
"239" 0.308 240067 0.259 0.239 -17.656 98.415
"240" 0.799 752720 0.151 0.0738 -18.838 85.198
"241" 0.968 179973 0.19 0.284 -12.696 76.398
"242" 0.405 274000 0.284 0.184 -16.146 86.093
"243" 0.733 138467 0.23 0.149 -14.388 95.967
"244" 0.646 154400 0.197 0.291 -16.743 102.229
"245" 0.812 560655 0.326 0.247 -12.11 108.387
"246" 0.123 110307 0.848 0.0834 -7.429 91.284
"247" 0.602 193027 0.822 0.107 -2.85 81.981
"248" 0.393 279400 0.6 0.101 -6.966 140.992
"249" 0.995 82253 0.256 0.125 -17.647 99.949
"250" 0.712 146467 0.278 0.202 -13.733 117.96
"251" 0.0177 299067 0.844 0.111 -11.172 121.906
"252" 0.741 316053 0.0873 0.0884 -20.051 83.749
"253" 0.984 168520 0.0647 0.123 -14.839 96.499
"254" 0.493 356693 0.672 0.174 -6.601 98.232
"255" 0.845 194373 0.575 0.416 -10.643 100.703
"256" 0.399 337760 0.774 0.189 -3.144 77.621
"257" 0.387 183947 0.455 0.433 -13.159 103.979
"258" 0.119 201800 0.492 0.0777 -6.309 91.098
"259" 0.961 185720 0.231 0.0741 -23.873 104.853
"260" 0.84 201893 0.143 0.133 -11.506 112.954
"261" 0.00658 153307 0.722 0.08 -10.988 141.3
"262" 0.506 268748 0.581 0.109 -6.855 119.941
"263" 0.987 186530 0.186 0.394 -20.204 94.557
"264" 0.0743 400667 0.606 0.135 -8.626 103.976
